 15.95 29.18 1.49 24.97 10.13 68.67 40.66 95.02 20.66 25.63 94.36 28.91 23.19 20.47 54.63 30.20 21.22 35.11
 17.63 19.37 2.87 24.07 9.45 83.56 17.54 101.79 13.24 27.19 56.28 26.86 18.83 18.93 59.94 21.32 21.17 28.91
 61.47 18.57 5.70 23.31 8.53 78.88 18.66 82.02 9.48 33.45 52.78 23.59 22.74 16.37 77.85 28.10 20.16 28.08
 27.73 17.88 6.26 29.73 17.50 65.01 16.98 40.34 13.12 30.39 61.99 20.89 19.40 18.55 86.16 34.22 19.02 26.57
 19.62 14.32 3.59 32.43 16.43 59.49 13.13 32.94 21.97 25.12 57.45 22.50 15.84 15.35 86.33 23.53 20.85 16.58
 16.46 19.59 4.14 34.23 15.73 57.46 16.60 35.57 9.55 30.12 40.46 15.66 12.32 24.72 87.22 21.67 20.56 16.20
 21.10 15.73 4.13 32.00 9.26 39.66 15.27 19.79 6.49 38.82 27.10 13.32 16.91 25.14 88.30 18.76 19.52 13.82
 56.85 15.20 2.72 35.01 8.80 26.27 11.67 17.68 13.20 43.14 35.64 19.16 20.32 26.81 89.64 16.44 22.36 9.73
 14.01 7.31 1.03 32.72 15.94 20.23 6.66 18.49 19.91 41.26 24.44 34.17 21.10 22.54 80.63 10.95 22.67 4.27
 17.77 6.56 -0.16 28.26 7.73 27.44 7.78 21.09 8.63 41.03 -0.35 29.63 15.30 23.05 64.28 9.54 20.31 8.10
 23.16 6.24 3.04 20.50 6.34 20.71 8.11 24.08 9.80 29.94 10.21 20.83 14.98 13.82 63.02 5.06 23.02 6.10
 6.99 8.62 2.18 9.86 8.12 22.19 6.65 35.98 13.37 19.51 20.04 18.02 10.29 8.27 68.90 2.32 23.75 3.57
 7.95 5.55 6.00 7.23 9.31 32.16 3.89 33.24 15.58 11.68 25.58 20.71 10.94 6.31 71.87 2.06 17.91 1.94
 6.51 4.86 7.10 3.14 11.03 37.56 4.26 30.26 8.22 12.47 25.23 17.26 8.22 4.43 69.31 3.03 2.42 0.38
 27.49 5.50 8.16 1.42 11.03 37.86 7.63 26.59 0.66 10.17 32.61 16.05 9.98 2.81 71.64 5.98 0.50 2.56
 19.71 7.64 8.34 2.02 11.02 19.10 6.29 18.35 7.19 9.99 48.34 16.54 5.35 3.28 74.07 7.73 7.11 3.60
 9.09 6.23 5.82 1.15 9.02 17.48 0.16 2.17 6.75 6.00 39.50 20.06 2.78 1.35 73.18 2.51 6.54 3.47
 13.97 9.44 6.97 -0.07 9.82 26.28 5.42 0.40 2.79 0.93 29.62 21.69 2.64 -0.48 76.35 3.97 18.34 6.92
 40.42 10.16 7.58 8.04 10.89 41.31 6.21 -0.04 11.75 -0.31 33.47 21.93 1.79 0.72 86.43 1.59 18.24 5.53
 41.14 13.89 9.95 6.57 8.30 42.08 3.39 0.14 42.42 0.48 49.20 24.05 -0.07 2.85 89.26 0.62 17.17 6.90
 49.24 19.24 15.35 4.55 8.83 41.61 5.26 1.42 46.57 8.35 48.88 27.47 0.21 6.80 74.97 3.91 16.29 5.01
 27.91 20.19 15.45 13.53 5.84 48.95 4.97 8.43 11.73 7.17 27.72 26.02 0.72 9.16 42.86 -0.32 16.95 5.25
 28.02 18.52 16.19 24.24 4.80 51.25 5.47 6.02 17.60 10.64 29.94 23.28 3.36 8.22 35.30 0.18 14.37 4.85
 44.01 19.18 13.03 29.51 0.10 55.25 5.46 7.49 30.64 14.88 23.62 24.24 4.24 7.69 16.80 3.79 10.41 6.66
 26.19 29.38 11.33 45.40 1.34 65.29 12.57 11.93 32.49 18.32 21.58 25.44 3.71 13.77 17.24 10.70 16.11 22.96
 28.33 29.19 5.21 45.72 5.23 70.68 12.64 13.23 18.30 20.61 17.59 22.51 2.44 19.11 25.11 9.95 20.62 27.02
 28.43 26.42 4.82 50.96 9.38 74.46 11.32 23.67 24.39 21.66 23.96 24.15 3.84 21.66 36.42 10.51 20.97 16.79
 5.21 26.86 2.79 35.06 11.99 72.68 12.21 29.84 38.60 18.75 35.17 26.56 4.45 22.96 36.02 15.06 19.64 12.82
 0.19 14.73 8.44 28.03 16.44 75.48 9.47 37.84 46.70 17.51 35.89 31.95 4.53 20.28 32.65 12.83 17.02 13.56
 10.78 18.52 16.51 26.55 15.85 80.42 12.06 48.82 37.68 27.26 26.03 32.02 3.91 23.58 28.47 26.08 13.91 17.32
 26.22 18.95 14.74 27.75 16.13 79.08 18.26 58.79 52.11 30.40 38.25 36.64 6.93 29.16 28.82 37.46 14.73 19.55
 36.47 25.60 19.62 21.08 15.51 76.04 20.01 56.56 57.32 26.82 54.04 44.47 10.11 30.84 26.75 40.70 12.97 17.94
 37.05 15.53 28.11 29.92 16.20 82.47 10.26 58.96 64.85 20.33 57.73 49.25 10.98 36.44 13.32 18.06 13.25 13.50
 27.57 14.75 23.87 29.48 15.99 92.37 6.74 60.27 46.93 18.57 54.26 41.44 12.78 28.35 14.92 7.73 13.07 12.71
 64.35 13.62 22.29 32.14 15.30 92.49 7.07 83.13 52.09 15.80 49.48 39.17 15.34 32.04 21.04 9.87 12.65 11.98
 38.36 15.18 24.96 27.18 8.02 80.63 7.81 83.67 77.26 18.18 50.42 40.91 16.80 29.85 24.04 17.51 18.01 11.25
 22.49 17.39 24.39 24.08 3.82 70.00 8.69 82.81 43.42 17.00 46.92 40.57 14.64 28.72 21.40 15.09 13.37 15.65
 29.37 19.03 22.39 23.16 4.17 62.92 9.08 84.10 53.37 18.09 39.50 37.68 14.92 35.92 21.36 11.13 19.08 17.99
 68.80 20.18 20.14 27.42 4.99 59.83 11.01 91.12 52.12 19.28 35.08 32.61 16.26 37.18 23.11 11.45 28.02 22.74
 66.32 22.49 20.01 28.82 7.79 61.82 13.28 87.87 44.96 20.06 44.76 31.30 17.76 44.08 23.70 11.92 27.99 30.05
